quarter,town,flat_type,median_rent
2005-Q2,PUNGGOL,EXEC,-                            
2005-Q2,QUEENSTOWN,1-RM,na                        
2005-Q2,QUEENSTOWN,2-RM,-                         
2005-Q2,QUEENSTOWN,3-RM,850
2005-Q2,QUEENSTOWN,4-RM,1100
2005-Q2,QUEENSTOWN,5-RM,-                         
2005-Q2,QUEENSTOWN,EXEC,na                        
2005-Q2,SEMBAWANG,1-RM,na                         
2005-Q2,SEMBAWANG,2-RM,na                         
2005-Q2,SEMBAWANG,3-RM,na                         
2005-Q2,SEMBAWANG,4-RM,-                          
2005-Q2,SEMBAWANG,5-RM,900
2005-Q2,SEMBAWANG,EXEC,-                          
2005-Q2,SENGKANG,1-RM,na                          
2005-Q2,SENGKANG,2-RM,na                          
2005-Q2,SENGKANG,3-RM,na                          
2005-Q2,SENGKANG,4-RM,-                           
2005-Q2,SENGKANG,5-RM,-                           
2005-Q2,SENGKANG,EXEC,-                           
2005-Q2,SERANGOON,1-RM,na                         
2005-Q2,SERANGOON,2-RM,na                         
2005-Q2,SERANGOON,3-RM,-                          
2005-Q2,SERANGOON,4-RM,900
2005-Q2,SERANGOON,5-RM,-                          
2005-Q2,SERANGOON,EXEC,-                          
2005-Q2,TAMPINES,1-RM,na                          
2005-Q2,TAMPINES,2-RM,na                          
2005-Q2,TAMPINES,3-RM,800
2005-Q2,TAMPINES,4-RM,950
2005-Q2,TAMPINES,5-RM,1000
2005-Q2,TAMPINES,EXEC,-                           
2005-Q2,TOA PAYOH,1-RM,na                         
2005-Q2,TOA PAYOH,2-RM,-                          
2005-Q2,TOA PAYOH,3-RM,800
2005-Q2,TOA PAYOH,4-RM,1000
2005-Q2,TOA PAYOH,5-RM,-                          
2005-Q2,TOA PAYOH,EXEC,-                          
2005-Q2,WOODLANDS,1-RM,na                         
2005-Q2,WOODLANDS,2-RM,na                         
2005-Q2,WOODLANDS,3-RM,-                          
2005-Q2,WOODLANDS,4-RM,850
2005-Q2,WOODLANDS,5-RM,900
2005-Q2,WOODLANDS,EXEC,1025
2005-Q2,YISHUN,1-RM,na                            
2005-Q2,YISHUN,2-RM,na                            
2005-Q2,YISHUN,3-RM,750
2005-Q2,YISHUN,4-RM,850
2005-Q2,YISHUN,5-RM,-                             
2005-Q2,YISHUN,EXEC,-                             
2005-Q3,ANG MO KIO,1-RM,na                        
2005-Q3,ANG MO KIO,2-RM,-                         
2005-Q3,ANG MO KIO,3-RM,800
2005-Q3,ANG MO KIO,4-RM,950
2005-Q3,ANG MO KIO,5-RM,-                         
2005-Q3,ANG MO KIO,EXEC,-                         
2005-Q3,BEDOK,1-RM,na                             
2005-Q3,BEDOK,2-RM,-                              
2005-Q3,BEDOK,3-RM,800
2005-Q3,BEDOK,4-RM,900
2005-Q3,BEDOK,5-RM,1000
2005-Q3,BEDOK,EXEC,-                              
2005-Q3,BISHAN,1-RM,na                            
2005-Q3,BISHAN,2-RM,na                            
2005-Q3,BISHAN,3-RM,780
2005-Q3,BISHAN,4-RM,1050
2005-Q3,BISHAN,5-RM,1200
2005-Q3,BISHAN,EXEC,-                             
2005-Q3,BUKIT BATOK,1-RM,na                       
2005-Q3,BUKIT BATOK,2-RM,na                       
2005-Q3,BUKIT BATOK,3-RM,700
2005-Q3,BUKIT BATOK,4-RM,900
2005-Q3,BUKIT BATOK,5-RM,-                        
2005-Q3,BUKIT BATOK,EXEC,-                        
2005-Q3,BUKIT MERAH,1-RM,-                        
2005-Q3,BUKIT MERAH,2-RM,-                        
2005-Q3,BUKIT MERAH,3-RM,800
2005-Q3,BUKIT MERAH,4-RM,-                        
2005-Q3,BUKIT MERAH,5-RM,-                        
2006-Q1,JURONG WEST,5-RM,1075
2005-Q3,BUKIT MERAH,EXEC,na                       
2005-Q3,BUKIT PANJANG,1-RM,na                     
2005-Q3,BUKIT PANJANG,2-RM,na                     
2005-Q3,BUKIT PANJANG,3-RM,-                      
2005-Q3,BUKIT PANJANG,4-RM,-                      
2005-Q3,BUKIT PANJANG,5-RM,-                      
2005-Q3,BUKIT PANJANG,EXEC,-                      
